utt_id,wav,emotion,raw_emotion,speaker,session,start,end,dur,valence,arousal,dominance,transcript
Ses01F_impro02_F002,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F002.wav,sad,sad,Ses01F,1,26.5659,32.2895,5.724,2.0,1.5,1.5,I don't know.  I put in that. request too. They didn't...
Ses01F_impro02_F003,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F003.wav,neutral,neu,Ses01F,1,32.3075,37.96,5.653,2.0,2.0,2.0,"I guess, you know, everybody has to make sacrifices."
Ses01F_impro02_F004,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F004.wav,sad,sad,Ses01F,1,47.34,53.11,5.77,2.5,2.0,2.5,"There's people that have given more though, you know?"
Ses01F_impro02_F005,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F005.wav,sad,sad,Ses01F,1,58.75,61.31,2.56,2.0,2.0,2.5,I know.
Ses01F_impro02_F006,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F006.wav,neutral,neu,Ses01F,1,64.255,68.47,4.215,2.5,2.5,2.5,"There's babies over there, though, that need mothers."
Ses01F_impro02_F008,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F008.wav,sad,sad,Ses01F,1,87.2031,91.09,3.887,1.5,2.0,1.5,"Just, you know, kicking myself."
Ses01F_impro02_F010,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F010.wav,sad,sad,Ses01F,1,97.94,102.19,4.25,2.0,1.5,2.0,things just aren't what they seem.
Ses01F_impro02_F012,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F012.wav,sad,sad,Ses01F,1,117.83,120.8605,3.031,3.5,2.0,1.5,"If not me then, who?"
Ses01F_impro02_F013,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F013.wav,sad,sad,Ses01F,1,127.82,133.9455,6.126,1.5,2.0,2.0,"You'll videotape everything, yeah?"
Ses01F_impro02_F014,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F014.wav,sad,sad,Ses01F,1,139.03,146.43,7.4,1.5,2.0,2.0,"Maybe you can send it to me, like stream it, yeah?"
Ses01F_impro02_F015,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F015.wav,sad,sad,Ses01F,1,151.4221,155.01,3.588,2.0,2.5,2.5,Last month--  Yeah.
Ses01F_impro02_F016,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F016.wav,neutral,neu,Ses01F,1,163.54,165.73,2.19,2.0,1.0,2.5,I have to find sitters.
Ses01F_impro02_F017,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F017.wav,sad,sad,Ses01F,1,169.36,176.015,6.655,3.5,3.0,2.5,"We've got friends, that's why we moved here, huh?  Because there is a day care down the street."
Ses01F_impro02_F018,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F018.wav,neutral,neu,Ses01F,1,176.08,179.13,3.05,2.5,2.5,2.5,And your mother is close by.
Ses01F_impro02_F019,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F019.wav,sad,sad,Ses01F,1,182.83,185.8894,3.059,2.5,1.5,2.0,I'll send you lots of letters.
Ses01F_impro02_F020,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F020.wav,sad,sad,Ses01F,1,186.58,191.11,4.53,4.0,2.0,2.5,And I want lots and lots and lots of pictures.
Ses01F_impro02_M001,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M001.wav,sad,sad,Ses01M,1,21.76,27.5558,5.796,2.0,2.5,2.5,"I don't understand.  You've already done so much, I don't know why do you have to go back."
Ses01F_impro02_M005,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M005.wav,sad,sad,Ses01M,1,69.34,74.29,4.95,2.0,3.0,1.5,I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it.
Ses01F_impro02_M009,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M009.wav,sad,sad,Ses01M,1,114.1775,117.85,3.672,2.0,1.5,2.5,I just don't see why it has to be you.
Ses01F_impro02_M010,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M010.wav,sad,sad,Ses01M,1,120.4105,124.63,4.219,2.0,2.0,1.5,What am I going to do? Huh?
Ses01F_impro02_M011,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M011.wav,sad,sad,Ses01M,1,133.88,137.1,3.22,2.5,1.5,2.5,Yeah.
Ses01F_impro02_M012,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M012.wav,neutral,neu,Ses01M,1,147.03,151.7101,4.68,2.5,2.0,2.0,Don't you guys have access to computers over there.
Ses01F_impro02_M013,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M013.wav,sad,sad,Ses01M,1,157.98,162.71,4.73,1.5,2.0,2.0,I just don't know how I'm going to do it without you.
Ses01F_impro02_M014,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M014.wav,sad,sad,Ses01M,1,164.885,169.5,4.615,1.5,3.0,1.5,I can't raise a baby by myself.  How?
Ses01F_impro02_M015,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M015.wav,neutral,neu,Ses01M,1,175.47,176.72,1.25,3.0,3.0,1.5,I know.
Ses01F_impro03_F000,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F000.wav,happy,hap,Ses01F,1,4.88,7.74,2.86,4.3333,2.6667,2.6667,Well Vegas was awesome.
Ses01F_impro03_F001,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F001.wav,happy,hap,Ses01F,1,7.93,11.37,3.44,4.0,2.6667,2.6667,"And, um, I got married."
Ses01F_impro03_F002,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F002.wav,happy,hap,Ses01F,1,12.8,15.37,2.57,4.3333,3.0,2.3333,Yeah.  In the old town part.
Ses01F_impro03_F004,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F004.wav,happy,hap,Ses01F,1,21.75,25.52,3.77,4.6667,3.6667,2.3333,Um- Yes.  It was very romantic.
Ses01F_impro03_F005,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F005.wav,happy,hap,Ses01F,1,25.5584,28.14,2.582,4.3333,4.0,2.3333,It was at the slot machines.
Ses01F_impro03_F006,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F006.wav,happy,hap,Ses01F,1,28.37,34.71,6.34,4.0,3.3333,2.6667,"Uhuh, uhuh.  He won big and he-and he realized that the only thing that would make it better was me as his bride."
Ses01F_impro03_F008,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F008.wav,happy,hap,Ses01F,1,40.12,42.79,2.67,4.0,3.3333,2.3333,"Yeah.  Well.  You know, because he's leaving the next day."
Ses01F_impro03_F009,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F009.wav,happy,hap,Ses01F,1,42.84,44.54,1.7,4.0,2.6667,2.3333,But we're going to have a honeymoon cruise.
Ses01F_impro03_F010,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F010.wav,happy,hap,Ses01F,1,47.87,51.075,3.205,4.0,3.3333,3.0,Oh.  I hadn't even thought about that.
Ses01F_impro03_F012,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F012.wav,happy,hap,Ses01F,1,55.865,58.15,2.285,4.0,3.6667,2.6667,Oh.  Totally.
Ses01F_impro03_F013,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F013.wav,happy,hap,Ses01F,1,60.73,65.86,5.13,5.0,4.0,3.3333,I guess I'll-  I guess I'll have an internet husband.[LAUGHTER]
Ses01F_impro03_F015,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F015.wav,happy,exc,Ses01F,1,74.2675,78.8425,4.575,4.6667,3.6667,3.0,"Yeah, so [LAUGHTER] He's calling me now"
Ses01F_impro03_F016,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F016.wav,happy,hap,Ses01F,1,79.035,81.0875,2.053,4.0,3.0,2.3333,"He likes to keep tabs, you know."
Ses01F_impro03_F017,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F017.wav,neutral,neu,Ses01F,1,82.0975,85.08,2.983,3.6667,2.6667,2.3333,"Uh, I think seven hundred and fifty dollars."
Ses01F_impro03_F018,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F018.wav,neutral,neu,Ses01F,1,85.1,88.0225,2.922,3.6667,3.0,2.0,Penny slots. That's what he plays.
Ses01F_impro03_F019,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F019.wav,neutral,neu,Ses01F,1,88.08,89.5,1.42,3.6667,2.3333,2.0,Yeah.
Ses01F_impro03_F021,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F021.wav,happy,hap,Ses01F,1,92.75,98.21,5.46,3.3333,3.6667,2.6667,Yeah.  We played Wheel of Fortune pennies.  It's like a giant thing with like-
Ses01F_impro03_F022,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F022.wav,neutral,neu,Ses01F,1,99.7775,102.03,2.252,3.3333,2.6667,2.0,Fifty bucks. Mmhmm.
Ses01F_impro03_F023,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F023.wav,neutral,neu,Ses01F,1,102.62,103.4625,0.843,3.0,2.3333,2.0,Yeah.
Ses01F_impro03_F024,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F024.wav,happy,hap,Ses01F,1,103.78,108.1825,4.403,4.3333,3.0,2.6667,Well so now we're married. We have cat children.
Ses01F_impro03_F025,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F025.wav,happy,hap,Ses01F,1,110.23,114.16,3.93,4.3333,3.3333,3.3333,"We renamed Brenda, Lumber Janet."
Ses01F_impro03_F026,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F026.wav,happy,hap,Ses01F,1,114.19,120.2,6.01,4.6667,4.0,3.0,She needs a new name each state that we go into. [LAUGHTER]
Ses01F_impro03_M000,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M000.wav,neutral,neu,Ses01M,1,3.24,5.46,2.22,4.0,3.0,2.6667,So what's up?  What's new?
Ses01F_impro03_M001,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M001.wav,neutral,neu,Ses01M,1,6.6,8.66,2.06,4.3333,2.6667,2.3333,Yeah.  I heard.
Ses01F_impro03_M003,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M003.wav,happy,exc,Ses01M,1,14.93,18.9075,3.977,5.0,4.6667,3.0,Who did you marry?
Ses01F_impro03_M006,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M006.wav,neutral,neu,Ses01M,1,34.25,36.34,2.09,4.0,2.6667,2.3333,He turned to you and was like...
Ses01F_impro03_M007,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M007.wav,happy,hap,Ses01M,1,37.7175,40.47,2.752,4.0,3.0,2.3333,[LAUGHTER] That's really romantic.
Ses01F_impro03_M008,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M008.wav,neutral,neu,Ses01M,1,42.09,43.41,1.32,4.0,2.6667,2.0,Yeah.
Ses01F_impro03_M009,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M009.wav,neutral,neu,Ses01M,1,44.16,49.07,4.91,3.6667,2.3333,2.3333,"Does that mean that you're going to get citizenship, too, in- in England or whatever?"
Ses01F_impro03_M011,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M011.wav,neutral,neu,Ses01M,1,52.92,56.85,3.93,3.6667,3.6667,2.6667,Yeah.  But he'll have like a long visa.  Can you go visit then for a long time?
Ses01F_impro03_M013,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M013.wav,happy,hap,Ses01M,1,65.6425,68.44,2.797,4.6667,4.0,3.0,Like you need another one of those.[LAUGHTER]
Ses01F_impro03_M014,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M014.wav,happy,hap,Ses01M,1,73.41,76.9975,3.588,4.3333,3.6667,2.6667,Is that your phone?
Ses01F_impro03_M015,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M015.wav,happy,hap,Ses01M,1,78.32,80.5,2.18,4.0,3.0,2.6667,He loves you.
Ses01F_impro03_M016,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M016.wav,neutral,neu,Ses01M,1,80.7175,82.5225,1.805,3.6667,2.6667,2.6667,How much did he win at the slot?
Ses01F_impro03_M019,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M019.wav,neutral,neu,Ses01M,1,89.12,93.91,4.79,3.0,3.0,2.3333,I'm a big fan of the Wheel of Fortune quarters. But it just costs so much.  I don't know.
Ses01F_impro03_M020,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M020.wav,neutral,neu,Ses01M,1,97.03,101.65,4.62,3.3333,3.0,2.6667,"But the pennies always get you because you end up spending like, you know, fifty bucks."
Ses01F_impro03_M021,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M021.wav,neutral,neu,Ses01M,1,101.67,104.35,2.68,3.0,3.3333,2.6667,"like, wait, but it's just pennies.  You're like, wait a minute I'm on to you."
Ses01F_impro03_M022,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M022.wav,happy,exc,Ses01M,1,105.29,106.95,1.66,4.0,3.3333,2.6667,Awesome.
Ses01F_impro03_M023,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M023.wav,happy,hap,Ses01M,1,107.71,111.4,3.69,4.6667,4.3333,3.6667,[LAUGHTER] Cat babies.
Ses01F_impro03_M024,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M024.wav,neutral,neu,Ses01M,1,117.36,119.58,2.22,3.6667,2.6667,2.3333,That's fair enough.
Ses01F_impro04_F000,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F000.wav,neutral,neu,Ses01F,1,7.2455,11.64,4.395,3.0,3.0,3.0,"Uh, what?  Craig's List?  Oh the internet thing?"
Ses01F_impro04_F001,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F001.wav,neutral,neu,Ses01F,1,11.7448,16.15,4.405,2.5,2.5,3.0,I don't know.  Isn't that-- that's all like escort services and things like that.
Ses01F_impro04_F005,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F005.wav,neutral,neu,Ses01F,1,43.35,45.7596,2.41,3.0,2.0,2.5,He just...
Ses01F_impro04_F006,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F006.wav,neutral,neu,Ses01F,1,46.2735,49.83,3.556,3.0,3.5,3.5,you know what?  I heard about that job.  I applied for that.
Ses01F_impro04_F009,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F009.wav,neutral,neu,Ses01F,1,58.71,60.0937,1.384,2.5,2.5,2.5,Yeah.
Ses01F_impro04_F013,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F013.wav,neutral,neu,Ses01F,1,76.49,80.7269,4.237,3.0,3.5,3.5,I just- I mean I call people up and I tell them what I'm good at.
Ses01F_impro04_F014,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F014.wav,neutral,neu,Ses01F,1,85.49,86.98,1.49,2.5,3.0,2.5,Yeah.
Ses01F_impro04_F028,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F028.wav,angry,ang,Ses01F,1,170.83,172.84,2.01,2.0,3.5,3.5,I'm not frustrated.
Ses01F_impro04_F029,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F029.wav,angry,ang,Ses01F,1,175.27,178.43,3.16,1.5,4.0,4.0,Who do you think you are?
Ses01F_impro04_F030,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F030.wav,angry,ang,Ses01F,1,180.3025,183.4875,3.185,1.5,3.5,4.0,You are so high and mighty.  I just--
Ses01F_impro04_F031,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F031.wav,angry,ang,Ses01F,1,184.47,188.87,4.4,1.5,3.0,3.5,Oh.  I'm saving the environment. I'm riding this car because I- I want to.
Ses01F_impro04_F032,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F032.wav,angry,ang,Ses01F,1,189.12,192.02,2.9,2.0,3.5,3.5,"The bus, I'm riding the bus because I want to."
Ses01F_impro04_F033,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F033.wav,angry,ang,Ses01F,1,193.5875,199.4325,5.845,1.5,3.5,4.5,I can not-- you are not here by choice.  Nobody would ride this bus by choice.
Ses01F_impro04_M000,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M000.wav,neutral,neu,Ses01M,1,2.7418,6.6575,3.916,3.0,2.5,2.5,"Have you tried, uh, Craig's List?"
Ses01F_impro04_M001,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M001.wav,neutral,neu,Ses01M,1,10.46,12.13,1.67,3.0,2.5,2.0,Yeah.
Ses01F_impro04_M002,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M002.wav,neutral,neu,Ses01M,1,15.64,18.9,3.26,3.0,2.5,3.0,No.  There's regular jobs on there.
Ses01F_impro04_M003,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M003.wav,neutral,neu,Ses01M,1,26.91,28.71,1.8,3.0,2.5,2.5,Uh huh.
Ses01F_impro04_M004,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M004.wav,neutral,neu,Ses01M,1,30.88,35.5225,4.643,3.0,3.0,3.0,I'm just saying I have a friend that got a good job on it so I was just recommending it.
Ses01F_impro04_M005,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M005.wav,neutral,neu,Ses01M,1,37.19,40.53,3.34,3.0,3.0,3.0,He's like a manager for a theatre.
Ses01F_impro04_M006,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M006.wav,neutral,neu,Ses01M,1,40.54,43.576,3.036,3.0,3.5,2.5,He's like a house manager. Yeah.  It's a good job.
Ses01F_impro04_M007,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M007.wav,neutral,neu,Ses01M,1,49.39,50.58,1.19,3.5,3.0,2.5,You did?
Ses01F_impro04_M008,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M008.wav,neutral,neu,Ses01M,1,55.21,56.33,1.12,3.0,3.0,2.5,Yeah.
Ses01F_impro04_M009,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M009.wav,neutral,neu,Ses01M,1,56.35,59.0245,2.675,3.0,3.0,3.0,You've been looking for a job for a long time; that was a long time ago.  Right?
Ses01F_impro04_M010,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M010.wav,neutral,neu,Ses01M,1,59.8,61.55,1.75,3.0,2.5,2.0,Hmm.
Ses01F_impro04_M011,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M011.wav,neutral,neu,Ses01M,1,65.97,69.77,3.8,3.0,3.0,2.5,I don't know.  He had a really good resume I guess and--
Ses01F_impro04_M012,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M012.wav,neutral,neu,Ses01M,1,70.38,72.7264,2.346,3.0,3.0,2.5,Yeah.  Do you have a resume?
Ses01F_impro04_M013,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M013.wav,neutral,neu,Ses01M,1,73.7473,77.15,3.403,3.0,2.0,3.0,It's kind of helpful when getting a job.
Ses01F_impro04_M014,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M014.wav,neutral,neu,Ses01M,1,80.1435,87.81,7.666,3.5,3.5,3.5,Well maybe we should sit down some time and you can just tell me all the stuff that you have done and I'll write it out.
Ses01F_impro04_M015,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M015.wav,neutral,neu,Ses01M,1,92.37,99.27,6.9,2.5,3.5,3.0,"No.  You can- or you can just bring it in person.  But they need, generally, something to see, you know, what kind of what that you've done, what kind of--"
Ses01F_impro04_M016,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M016.wav,neutral,neu,Ses01M,1,100.485,103.47,2.985,3.0,2.5,2.5,"Yeah.  But the piece of paper helps, too."
Ses01F_impro04_M017,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M017.wav,neutral,neu,Ses01M,1,104.97,107.78,2.81,3.0,3.5,3.0,"No.  But it has an outline, you know."
